A,B,C,D,E,F,G,H,class
85.1875,46.3912959913,1.5263977176,3.5629803581,125.812036448,55.5532696754,-0.2308166883,-1.0501508047,1
15.5625,37.277202735,5.2367288322,27.8935946261,38.2223534042,39.2761961868,1.789468386,3.6347878293,1
72.8125,43.3138527927,2.3051781003,7.3534760926,55.1033670034,50.7685156097,1.534333052,1.7815257489,1
50.984375,41.525779714,2.6554759809,9.2728119874,67.6920634921,44.1808641128,1.0585031874,1.3049149857,1
88.296875,43.8925106395,1.7930632058,4.8100415056,104.704124579,46.9155027018,0.2270676386,0.1240605388,1
10.75,39.2273023544,5.0322202033,25.4676396938,38.0110004151,38.7928057788,1.9490549909,4.0469627775,1
34.421875,38.7002925891,4.0675471948,18.0903111312,100.448329448,48.4991954684,0.1194204284,-0.0552771004,1
9.984375,39.0994294186,5.2409634185,27.1591499045,61.4576376005,43.3978470448,1.3209281489,2.120233951,1
26.46875,37.5482892212,4.6773170088,22.7363498212,61.8808353808,48.4638484239,1.5583706632,2.4996075652,1
19.03125,49.4219614487,3.5831656766,12.0822514455,82.9976325758,56.8340261506,0.5298470144,-0.4298461986,1
65.609375,42.9584163711,2.5845710969,8.4046875521,66.5962962963,45.8085202228,1.4335788431,2.4389523559,1
79.265625,51.553443807,1.7328460458,2.8847939579,89.4603729604,57.6604732046,0.9780674935,0.340592253,1
84.640625,50.361309302,0.9921745364,0.9678213367,135.793350168,57.5334902285,-0.073144959,-0.8954629801,1
58.4375,39.9033500317,2.9128701639,11.0043931946,111.982828283,50.374884596,0.1175400567,-0.6799330031,1
47.921875,36.7730814793,3.6662884619,16.7925511301,79.0387102735,30.1448259298,0.4393130294,2.2122156617,1
25.671875,39.6465062645,4.5022634456,20.4231837451,73.1708513709,48.0342886669,0.5988717754,0.1644183781,1
37.875,35.0109357915,4.8121994107,24.9021894526,55.9589800443,38.7352883013,1.5892038831,3.1703011669,1
51.609375,38.2351348515,3.2329926505,13.0642804122,79.1132376396,49.033684027,1.1590276196,1.1201357445,1
49.34375,38.9459636668,3.1456505481,13.0837722976,65.0461997019,35.29916641,1.7134153638,4.0133552552,1
45.25,43.0083567461,3.3779233329,13.4953859715,51.1383490073,34.8840875448,1.8327152694,5.2556145992,1
49.25,44.9242417855,2.8783595398,8.8012405854,97.5714840715,56.0798712618,0.4487866551,-0.4985874142,1
32.59375,40.8467864212,4.2906261573,19.1663914822,63.5568730786,39.6976821257,1.4585703575,2.71151012,1
85.296875,44.4974295913,1.5791512312,3.7313474371,82.0328151986,52.7150198212,1.1731793367,0.5347626479,1
72.625,42.0418318464,1.7710655617,5.2683659757,116.507177033,55.516973247,-0.0341563765,-0.8731396591,1
40.0625,40.8185294168,4.1148217016,18.642690867,66.375646711,29.6098968638,1.163245867,5.1594520768,1
62.390625,38.0179304685,2.8167604003,11.017963999,79.6793611794,31.9236647093,0.9805554255,4.1379977332,1
25.84375,41.768042041,4.7927607107,22.631525489,50.5140919686,43.5701805135,1.1600909828,1.3908340529,1
